doc_id,source_row_index,artist,title,year,word_count,obscenity,violence,sexism,stigmatization,raw_response,attempts
51,50,Kery James,En feu de détresse,,562,0.0,0.0,0.0,0.0,"Obscenity: 0
Violence: 0
Sexism: 0
Stigmatization: 0",1
52,51,Dadju & Tayc,La vie d’un... / Ma préférée,2024.0,614,10.0,0.0,0.0,0.0,"Obscenity: 10
Violence: 0
Sexism: 0
Stigmatization: 0",1
53,52,Zkr,Beterbiev,2024.0,594,4.0,6.0,,,"Obscenity: 4 (mots vulgaires: ""pétasse"", ""boiteux"", ""doigter"")
Violence: 6 (mots ou expressions de violence: ""feu"", ""faire comme eux"", ""patter"", ""démarrer",1
54,53,Zamdane,Printemps,2024.0,475,3.0,5.0,0.0,0.0,"Obscenity: 3 (Cocaïne)
Violence: 5 (Violence, Corps en deux, La violence a tâché mon cœur)
Sexism: 0
Stigmatization: 0",1
55,54,PLK,Grands Enfants,2024.0,353,4.0,0.0,0.0,0.0,"Obscenity: 4
Violence: 0
Sexism: 0
Stigmatization: 0",1
56,55,​orphevre,L’EAU QUI DORT,2022.0,412,8.0,8.0,0.0,0.0,"Obscenity: 8
Violence: 8
Sexism: 0
Stigmatization: 0",1
57,56,​orphevre,SALE ÉPOQUE,2024.0,579,2.0,0.0,0.0,0.0,"Obscenity: 2 (Fuck)
Violence: 0
Sexism: 0
Stigmatization: 0",1
58,57,​orphevre,À CÔTÉ,2024.0,527,8.0,6.0,4.0,4.0,"Obscenity: 8
Violence: 6
Sexism: 4
Stigmatization: 4",1
59,58,​orphevre,PÉRIPÉTIES,2024.0,549,8.0,6.0,2.0,2.0,"Obscenity: 8
Violence: 6
Sexism: 2
Stigmatization: 2",1
60,59,​orphevre,PLUS JAMAIS LAME,2024.0,390,8.0,6.0,2.0,4.0,"Obscenity: 8
Violence: 6
Sexism: 2
Stigmatization: 4",1
61,60,3.25,FROID,2024.0,310,0.0,0.0,0.0,0.0,"Obscenity: 0
Violence: 0
Sexism: 0
Stigmatization: 0",1
62,61,Genesys MOB,Dernière fois,2024.0,423,0.0,0.0,0.0,0.0,"Obscenity: 0
Violence: 0
Sexism: 0
Stigmatization: 0",1
63,62,GLK,好的 (OK),2024.0,371,9.0,7.0,7.0,7.0,"Obscenity: 9
Violence: 7
Sexism: 7
Stigmatization: 7",1
64,63,Chilly Gonzales,Mon Piano Qui Pleure,2024.0,96,0.0,0.0,0.0,0.0,Obscenity: 0 Violence: 0 Sexism: 0 Stigmatization: 0,1
65,64,Fresh laDouille,Indigent,2024.0,400,9.0,8.0,0.0,3.0,"Obscenity: 9
Violence: 8
Sexism: 0
Stigmatization: 3",1
66,65,Roshi & Shaz,MAUVAIS FOND,2024.0,479,4.0,6.0,0.0,0.0,"Obscenity: 4
Violence: 6
Sexism: 0
Stigmatization: 0",1
67,66,MRC,Vie de bandit,2024.0,333,4.0,7.0,0.0,0.0,"Obscenity: 4
Violence: 7
Sexism: 0
Stigmatization: 0",1
68,67,Zagata,Le Quartier,2024.0,709,4.0,3.0,0.0,4.0,"Obscenity: 4
Violence: 3
Sexism: 0
Stigmatization: 4",1
69,68,S-Tee (FRA),TERRAIN VAGUE,2024.0,381,8.0,6.0,4.0,6.0,"Obscenity: 8
Violence: 6
Sexism: 4
Stigmatization: 6",1
70,69,S-Tee (FRA),TRAP À LA MORT,2024.0,340,8.0,4.0,0.0,2.0,"Obscenity: 8
Violence: 4
Sexism: 0
Stigmatization: 2",1
71,70,S-Tee (FRA),LEVITATION,2024.0,207,8.0,3.0,4.0,3.0,"Obscenity: 8
Violence: 3
Sexism: 4
Stigmatization: 3",1
72,71,S-Tee (FRA),JEEP,2024.0,369,8.0,4.0,6.0,5.0,"Obscenity: 8
Violence: 4
Sexism: 6
Stigmatization: 5",1
73,72,S-Tee (FRA),APPEL MANQUÉ,2024.0,366,7.0,8.0,0.0,4.0,"Obscenity: 7
Violence: 8
Sexism: 0
Stigmatization: 4",1
74,73,63OG & SKUNA,ZUSHI,2023.0,515,8.0,6.0,6.0,7.0,"Obscenity: 8
Violence: 6
Sexism: 6
Stigmatization: 7",1
75,74,63OG & SKUNA,NGANNOU,2023.0,498,8.0,2.0,8.0,6.0,"Obscenity: 8
Violence: 2
Sexism: 8
Stigmatization: 6",1
76,75,HeyMikey! (FRA),NWAAR,2022.0,382,9.0,6.0,8.0,7.0,"Obscenity: 9
Violence: 6
Sexism: 8
Stigmatization: 7",1
77,76,Dope.GNG,NRNTB_XC40,2024.0,266,8.0,6.0,0.0,0.0,Obscenity: 8 Violence: 6 Sexism: 0 Stigmatization: 0,1
78,77,ZKR ft. Freeze Corleone,Beterbiev (English Lyrics),2024.0,592,4.0,4.0,4.0,0.0,"Obscenity: 4 (bitch, Marion M*******, finger)
Violence: 4 (smack, leave only butts, box)
Sexism: 4 (Marion M*******, finger)
Stigmatization: 0",1
79,78,Pivi (FRA),Chanson d’amour,2023.0,344,4.0,2.0,2.0,0.0,"Obscenity: 4
Violence: 2
Sexism: 2
Stigmatization: 0",1
80,79,Venom Cz,Ether,2024.0,298,9.0,8.0,0.0,0.0,"Obscenity: 9
Violence: 8
Sexism: 0
Stigmatization: 0",1
81,80,Ry’s (FRA),GHOST RIDER,2024.0,243,7.0,4.0,0.0,0.0,"Obscenity: 7
Violence: 4
Sexism: 0
Stigmatization: 0",1
82,81,Ry’s (FRA),VIPER,2024.0,473,6.0,2.0,0.0,1.0,"Obscenity: 6
Violence: 2
Sexism: 0
Stigmatization: 1",1
83,82,Ry’s (FRA),FANTOMATIQUE FREESTYLE,2024.0,344,8.0,2.0,2.0,2.0,"Obscenity: 8
Violence: 2
Sexism: 2
Stigmatization: 2",1
84,83,GEAVN,Elastigirl,2023.0,298,2.0,0.0,0.0,2.0,"Obscenity: 2
Violence: 0
Sexism: 0
Stigmatization: 2",1
85,84,F4Real,J’dors mal,2024.0,661,8.0,7.0,2.0,3.0,"Obscenity: 8
Violence: 7
Sexism: 2
Stigmatization: 3",1
86,85,Maes,Nouveau Jouet,2023.0,292,9.0,7.0,0.0,0.0,Obscenity: 9 Violence: 7 Sexism: 0 Stigmatization: 0,1
87,86,Battso,Avengers (il faut sauver le Rap Français),2014.0,1170,6.0,4.0,0.0,0.0,"Obscenity: 6
Violence: 4
Sexism: 0
Stigmatization: 0",1
88,87,Klem Schen,Telegram,2022.0,217,7.0,6.0,3.0,5.0,"Obscenity: 7
Violence: 6
Sexism: 3
Stigmatization: 5",1
89,88,Henri Bleu,2 Corbeaux,2024.0,522,4.0,6.0,0.0,0.0,"Obscenity: 4
Violence: 6
Sexism: 0
Stigmatization: 0",1
90,89,Rim’K,Go,2024.0,567,6.0,2.0,0.0,0.0,"Obscenity: 6
Violence: 2
Sexism: 0
Stigmatization: 0",1
91,90,Anggun,Si tu l’avoues,2008.0,354,0.0,2.0,0.0,0.0,"Obscenity: 0
Violence: 2
Sexism: 0
Stigmatization: 0",1
92,91,K. Maro,Juss Shake,,468,8.0,0.0,7.0,2.0,"Obscenity: 8
Violence: 0
Sexism: 7
Stigmatization: 2",1
93,92,Black Jack,Stratagème,2024.0,596,7.0,8.0,0.0,1.0,"Obscenity: 7
Violence: 8
Sexism: 0
Stigmatization: 1",1
94,93,Intrntghostboi,ATM,2024.0,250,9.0,6.0,6.0,4.0,"Obscenity: 9
Violence: 6
Sexism: 6
Stigmatization: 4",1
95,94,Lucio Bukowski,Sans Signature,2012.0,764,8.0,4.0,0.0,4.0,"Obscenity: 8
Violence: 4
Sexism: 0
Stigmatization: 4",1
96,95,Le Juiice,Gospel,2024.0,319,4.0,8.0,0.0,0.0,"Obscenity: 4
Violence: 8
Sexism: 0
Stigmatization: 0",1
97,96,Dany Dan & Kyo Itachi,Crypto Cash,2024.0,411,4.0,8.0,2.0,2.0,"Obscenity: 4
Violence: 8
Sexism: 2
Stigmatization: 2",1
98,97,Doria,Lancôme,2024.0,313,0.0,0.0,0.0,0.0,"Obscenity: 0
Violence: 0
Sexism: 0
Stigmatization: 0",1
99,98,Rockin’ Squat,La Lutte Du Siècle,2011.0,547,4.0,2.0,0.0,4.0,"Obscenity: 4
Violence: 2
Sexism: 0
Stigmatization: 4",1
100,99,Keny Arkana,Tout tourne autour du soleil,2012.0,604,0.0,0.0,0.0,0.0,"Obscenity: 0
Violence: 0
Sexism: 0
Stigmatization: 0",1
101,100,A2H,Itinéraire,2011.0,383,8.0,2.0,0.0,2.0,"Obscenity: 8
Violence: 2
Sexism: 0
Stigmatization: 2",1
102,101,Féfé,Majeur en l’air,2024.0,236,0.0,2.0,0.0,2.0,"Obscenity: 0
Violence: 2
Sexism: 0
Stigmatization: 2",1
103,102,Luther (lutherantz),ROUGE GORON,2024.0,277,0.0,2.0,0.0,2.0,"Obscenity: 0
Violence: 2
Sexism: 0
Stigmatization: 2",1
104,103,Moha K,Goodbye,2024.0,341,0.0,0.0,0.0,0.0,"Obscenity: 0
Violence: 0
Sexism: 0
Stigmatization: 0",1
105,104,St. Jimmy (FRA),​sur un putain d’parking,2024.0,473,8.0,8.0,0.0,0.0,"Obscenity: 8
Violence: 8
Sexism: 0
Stigmatization: 0",1
106,105,St. Jimmy (FRA),HEAVEN&SENS,2024.0,180,4.0,2.0,0.0,0.0,"Obscenity: 4
Violence: 2
Sexism: 0
Stigmatization: 0",1
107,106,St. Jimmy (FRA),COMME une ÉCLIPSE,2024.0,182,4.0,2.0,0.0,0.0,"Obscenity: 4 (Je veux ton corps)
Violence: 2 (Les anges pleurent dans nos sourires, ton âme incendie mes artères)
Sexism: 0
Stigmatization: 0",1
108,107,St. Jimmy (FRA),Wolf,2024.0,218,0.0,0.0,0.0,0.0,"Obscenity: 0
Violence: 0
Sexism: 0
Stigmatization: 0",1
109,108,La Honda 19,La marque de fabrique (feat. kadrilla & lh19),2023.0,352,8.0,6.0,0.0,2.0,"Obscenity: 8
Violence: 6
Sexism: 0
Stigmatization: 2",1
111,110,Soleil Noir,La Moisson,2024.0,470,8.0,3.0,6.0,3.0,"Obscenity: 8
Violence: 3
Sexism: 6
Stigmatization: 3",1
112,111,Canardo,Partout la même,,442,8.0,2.0,0.0,0.0,"Obscenity: 8
Violence: 2
Sexism: 0
Stigmatization: 0",1
113,112,Booba,Dolce Camara,2024.0,525,8.0,7.0,6.0,4.0,"Obscenity: 8
Violence: 7
Sexism: 6
Stigmatization: 4",1
114,113,La Kadrilla,Coupe,2024.0,452,8.0,5.0,2.0,2.0,"Obscenity: 8
Violence: 5
Sexism: 2
Stigmatization: 2",1
115,114,H.LA DROGUE,Seklenland - Pt.9,2024.0,557,9.0,7.0,6.0,6.0,Obscenity: 9 Violence: 7 Sexism: 6 Stigmatization: 6,1
116,115,Deadi,Courave,2024.0,1175,8.0,6.0,2.0,4.0,"Obscenity: 8
Violence: 6
Sexism: 2
Stigmatization: 4",1
117,116,Booba,Rebel,2024.0,254,8.0,4.0,2.0,3.0,"Obscenity: 8
Violence: 4
Sexism: 2
Stigmatization: 3",1
118,117,Booba,Saga,2024.0,355,7.0,6.0,4.0,3.0,"Obscenity: 7
Violence: 6
Sexism: 4
Stigmatization: 3",1
119,118,Booba,GM,2024.0,683,8.0,7.0,6.0,4.0,"Obscenity: 8
Violence: 7
Sexism: 6
Stigmatization: 4",1
120,119,Booba,Abidal,2024.0,446,8.0,4.0,4.0,2.0,"Obscenity: 8
Violence: 4
Sexism: 4
Stigmatization: 2",1
121,120,Booba,Bénigni,2024.0,464,6.0,4.0,2.0,3.0,"Obscenity: 6
Violence: 4
Sexism: 2
Stigmatization: 3",1
122,121,Booba,CVBSP,2024.0,172,8.0,7.0,7.0,4.0,"Obscenity: 8
Violence: 7
Sexism: 7
Stigmatization: 4",1
123,122,Ronee (FRA),Ristretto #1,2024.0,324,8.0,3.0,0.0,0.0,"Obscenity: 8
Violence: 3
Sexism: 0
Stigmatization: 0",1
124,123,Implaccable,Si (bonus track),,324,9.0,0.0,8.0,0.0,"Obscenity: 9
Violence: 0
Sexism: 8
Stigmatization: 0",1
125,124,Lala &ce,XX,2018.0,147,10.0,2.0,10.0,10.0,"Obscenity: 10
Violence: 2
Sexism: 10
Stigmatization: 10",1
126,125,Popey,MAINTENANT,2024.0,406,8.0,7.0,0.0,2.0,"Obscenity: 8
Violence: 7
Sexism: 0
Stigmatization: 2",1
127,126,Yazou,Avant de jouer,2008.0,519,0.0,2.0,0.0,0.0,"Obscenity: 0
Violence: 2
Sexism: 0
Stigmatization: 0",1
128,127,Sadek,C’est pas grave,2013.0,687,8.0,4.0,0.0,0.0,"Obscenity: 8
Violence: 4
Sexism: 0
Stigmatization: 0",1
129,128,Gravité Zéro,Bestiols,,404,8.0,7.0,0.0,0.0,"Obscenity: 8
Violence: 7
Sexism: 0
Stigmatization: 0",1
130,129,Sexion d’Assaut,Dédicace,,613,7.0,2.0,0.0,2.0,"Obscenity: 7
Violence: 2
Sexism: 0
Stigmatization: 2",1
131,130,UZI (FRA),GARS DU ZOO,2024.0,415,8.0,2.0,0.0,2.0,"Obscenity: 8
Violence: 2
Sexism: 0
Stigmatization: 2",1
132,131,Ateyaba,Scorpion,2012.0,480,10.0,7.0,10.0,10.0,"Obscenity: 10
Violence: 7
Sexism: 10
Stigmatization: 10",1
133,132,Falcko,Error 404 I,2023.0,454,9.0,8.0,0.0,8.0,"Obscenity: 9
Violence: 8
Sexism: 0
Stigmatization: 8",1
134,133,Falcko,Northface,2023.0,512,8.0,7.0,0.0,7.0,"Obscenity: 8
Violence: 7
Sexism: 0
Stigmatization: 7",1
135,134,Sazamyzy,Boss Life,2024.0,498,9.0,8.0,2.0,0.0,Obscenity: 9 Violence: 8 Sexism: 2 Stigmatization: 0,1
136,135,Sheng (FRA),DIS-MOI PK ?!,2024.0,362,6.0,2.0,6.0,4.0,"Obscenity: 6
Violence: 2
Sexism: 6
Stigmatization: 4",1
137,136,KLS (FRA),CAUCHEMAR PREMONITOIRE,2023.0,405,4.0,3.0,0.0,3.0,"Obscenity: 4
Violence: 3
Sexism: 0
Stigmatization: 3",1
138,137,KLS (FRA),CA IRA,,340,9.0,2.0,8.0,6.0,"Obscenity: 9
Violence: 2
Sexism: 8
Stigmatization: 6",1
139,138,YL,Dommage,2024.0,377,8.0,4.0,6.0,4.0,"Obscenity: 8
Violence: 4
Sexism: 6
Stigmatization: 4",1
140,139,SNSET,V!E,2024.0,456,0.0,2.0,0.0,0.0,"Obscenity: 0
Violence: 2
Sexism: 0
Stigmatization: 0",1
141,140,SNSET,HONEST,2024.0,242,2.0,0.0,0.0,0.0,"Obscenity: 2 (fuck)
Violence: 0
Sexism: 0
Stigmatization: 0",1
142,141,SNSET,CHANEL INTERLUDE,2024.0,250,0.0,0.0,0.0,0.0,Obscenity: 0 Violence: 0 Sexism: 0 Stigmatization: 0,1
143,142,Ateyaba,Cristal,2012.0,304,9.0,8.0,8.0,10.0,"Obscenity: 9
Violence: 8
Sexism: 8
Stigmatization: 10",1
144,143,Gemen,GoneSouth #2 - UBER FUME,2024.0,489,4.0,2.0,0.0,4.0,"Obscenity: 4
Violence: 2
Sexism: 0
Stigmatization: 4",1
145,144,SNSET,TOUT LA HAUT,2024.0,356,2.0,0.0,0.0,0.0,"Obscenity: 2
Violence: 0
Sexism: 0
Stigmatization: 0",1
146,145,Empty7,Lacrimosa,2024.0,189,8.0,7.0,0.0,2.0,"Obscenity: 8
Violence: 7
Sexism: 0
Stigmatization: 2",1
147,146,Empty7,Gang signs,2024.0,291,6.0,6.0,0.0,3.0,"Obscenity: 6
Violence: 6
Sexism: 0
Stigmatization: 3",1
148,147,Empty7,Ne m’attends pas,2024.0,425,6.0,7.0,0.0,1.0,"Obscenity: 6
Violence: 7
Sexism: 0
Stigmatization: 1",1
149,148,Empty7,"Merci d’être,passé",2024.0,364,7.0,0.0,0.0,0.0,"Obscenity: 7
Violence: 0
Sexism: 0
Stigmatization: 0",1
150,149,​sean,LÈVE TON DOIGT,2024.0,304,8.0,4.0,2.0,2.0,"Obscenity: 8
Violence: 4
Sexism: 2
Stigmatization: 2",1
151,150,Sasso,Livraisons,2024.0,444,6.0,5.0,3.0,2.0,Obscenity: 6 Violence: 5 Sexism: 3 Stigmatization: 2,1
152,151,2 Mètres,100 Pas,2024.0,417,8.0,7.0,0.0,0.0,"Obscenity: 8
Violence: 7
Sexism: 0
Stigmatization: 0",1
153,152,Voleur2Voleur,Freestyle Frères Diaz,2024.0,592,4.0,6.0,3.0,2.0,"Obscenity: 4
Violence: 6
Sexism: 3
Stigmatization: 2",1
154,153,34murphy,24/24,2024.0,393,8.0,3.0,0.0,2.0,"Obscenity: 8
Violence: 3
Sexism: 0
Stigmatization: 2",1
155,154,Dany Dan & Kyo Itachi,Maître des lettres,2024.0,429,4.0,6.0,0.0,0.0,"Obscenity: 4
Violence: 6
Sexism: 0
Stigmatization: 0",1
156,155,Dany Dan & Kyo Itachi,Comme ça,2024.0,338,0.0,4.0,2.0,4.0,"Obscenity: 0
Violence: 4
Sexism: 2
Stigmatization: 4",1
157,156,Dany Dan & Kyo Itachi,Place Haute / Explosion,2024.0,508,0.0,0.0,0.0,0.0,"Obscenity: 0
Violence: 0
Sexism: 0
Stigmatization: 0",1
158,157,Dany Dan & Kyo Itachi,Otage,2024.0,271,0.0,0.0,0.0,0.0,"Obscenity: 0
Violence: 0
Sexism: 0
Stigmatization: 0",1
159,158,Dany Dan & Kyo Itachi,Défâche-toi,2024.0,434,0.0,7.0,8.0,7.0,"Obscenity: 0
Violence: 7
Sexism: 8
Stigmatization: 7",1
160,159,Dany Dan & Kyo Itachi,Sur mesure,2024.0,371,0.0,4.0,0.0,2.0,"Obscenity: 0
Violence: 4
Sexism: 0
Stigmatization: 2",1
161,160,Dany Dan & Kyo Itachi,Doux amer,2024.0,339,0.0,0.0,0.0,0.0,"Obscenity: 0
Violence: 0
Sexism: 0
Stigmatization: 0",1
162,161,Zequin,STYLE LIBRE ALCHIMIST EPISODE 1,2024.0,298,9.0,6.0,0.0,8.0,"Obscenity: 9
Violence: 6
Sexism: 0
Stigmatization: 8",1
163,162,Elh Kmer,Police Tue,2024.0,497,9.0,8.0,2.0,2.0,Obscenity: 9 Violence: 8 Sexism: 2 Stigmatization: 2,1
164,163,TH (FRA),ESP,2024.0,280,8.0,9.0,7.0,6.0,"Obscenity: 8
Violence: 9
Sexism: 7
Stigmatization: 6",1
165,164,TH (FRA),DOUDOU,2024.0,376,10.0,0.0,10.0,0.0,"Obscenity: 10
Violence: 0
Sexism: 10
Stigmatization: 0",1
166,165,TH (FRA),ADN,2024.0,164,8.0,0.0,6.0,2.0,"Obscenity: 8
Violence: 0
Sexism: 6
Stigmatization: 2",1
167,166,TH (FRA),MKHITARYAN,2024.0,253,6.0,4.0,4.0,3.0,"Obscenity: 6
Violence: 4
Sexism: 4
Stigmatization: 3",1
168,167,TH (FRA),SUN TZU,2024.0,274,8.0,8.0,0.0,0.0,"Obscenity: 8
Violence: 8
Sexism: 0
Stigmatization: 0",1
169,168,TH (FRA),MADÈRE,2024.0,238,0.0,2.0,0.0,0.0,"Obscenity: 0
Violence: 2
Sexism: 0
Stigmatization: 0",1
170,169,Lord Kossity,Booming System,2005.0,691,9.0,2.0,8.0,2.0,"Obscenity: 9
Violence: 2
Sexism: 8
Stigmatization: 2",1
171,170,Féfé,Intro,2024.0,71,0.0,0.0,0.0,0.0,Obscenity: 0 Violence: 0 Sexism: 0 Stigmatization: 0,1
172,171,Féfé,Hélicoptère,2024.0,392,6.0,2.0,0.0,0.0,"Obscenity: 6
Violence: 2
Sexism: 0
Stigmatization: 0",1
173,172,Féfé,Tout se vend,2024.0,272,8.0,0.0,4.0,4.0,"Obscenity: 8
Violence: 0
Sexism: 4
Stigmatization: 4",1
174,173,Féfé,Belle comme T,2024.0,239,0.0,0.0,0.0,0.0,Obscenity: 0 Violence: 0 Sexism: 0 Stigmatization: 0,1
